count|uri
276|/shuttle/missions/sts-71/sts-71-day-10-highlights.html
275|/images/launchpalms.gif
275|/history/gemini/gemini-overview.txt
274|/shuttle/missions/sts-missions-flown.txt
274|/shuttle/missions/sts-78/
273|/shuttle/missions/41-g/mission-41-g.html
272|/htbin/wais.pl?51-L
271|/shuttle/missions/51-b/mission-51-b.html
271|/history/apollo/as-202/as-202.html
271|/shuttle/missions/sts-35/mission-sts-35.html
268|/history/gemini/gemini-v/gemini-v.html
267|/payloads/cm-systems.html
267|/shuttle/countdown/lps/aa/aa.html
267|/shuttle/countdown/lps/images/MASTER.gif
267|/elv/DELTA/delta.htm
266|/facts/launch-pass.txt
